127.0.0.1 - - [06/Feb/2019:03:04:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:04:44 +0530] "GET /Auction/ HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:04:44 +0530] "GET /Auction/Stylesheets/main.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:04:44 +0530] "GET /Auction/public/javascripts/validate.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:04:44 +0530] "GET /Auction/Stylesheets/login.css HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:04:59 +0530] "GET /Auction/signup.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:05:49 +0530] "GET /Auction/signup.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:05:49 +0530] "GET /Auction/Stylesheets/main.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:05:49 +0530] "GET /Auction/Stylesheets/login.css HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:05:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:05:58 +0530] "GET /Auction/signup.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:06:47 +0530] "POST /Auction/signup HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:07:02 +0530] "GET /Auction/login.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:07:02 +0530] "GET /Auction/public/javascripts/validate.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:07:12 +0530] "POST /Auction/login HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:07:17 +0530] "GET /Auction/login.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:07:31 +0530] "GET /Auction/signup.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:08:41 +0530] "GET /Auction/welcome.jsp HTTP/1.1" 200 22523
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:09:48 +0530] "GET /Auction/addAdvt.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:09:48 +0530] "GET /Auction/login.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:12:05 +0530] "GET /Auction/login.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:12:11 +0530] "GET /Auction/login.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:12:13 +0530] "GET /Auction/signup.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [06/Feb/2019:03:12:24 +0530] "GET /Auction/welcome.jsp HTTP/1.1" 200 22523
